userName,userID,locationID,locationName,arrivalTime,duration,preference
Clara Carroll,0,144,HOSTEL ARIA,"[7.66, 8.69]","[2.61, 3.12]",4
Clara Carroll,0,1148,Oscar Quán,"[11.32, 13.11]","[1.1, 3.05]",1
Clara Carroll,0,2099,Khu vui chơi Sky Kids,"[12.9, 14.0]","[0.05, 2.15]",3
Clara Carroll,0,2087,Chùa Giác Hải,"[8.16, 11.48]","[0.28, 0.78]",5
Clara Carroll,0,784,Home coffee,"[8.08, 11.83]","[0.46, 3.35]",5
Clara Carroll,0,345,FLC City Hotel Beach Quy Nhon,"[5.98, 7.82]","[0.27, 1.21]",5
Clara Carroll,0,1895,FuLok Champa quán,"[9.21, 10.26]","[0.17, 1.56]",1
Clara Carroll,0,1118,Nem nướng Tí Ti.,"[7.44, 14.28]","[0.06, 1.16]",5
Earl Chaney,1,2099,Khu vui chơi Sky Kids,"[12.26, 15.32]","[1.5, 2.4]",3
Earl Chaney,1,784,Home coffee,"[10.43, 11.48]","[0.2, 1.12]",3
Earl Chaney,1,345,FLC City Hotel Beach Quy Nhon,"[5.01, 6.64]","[0.97, 1.9]",4
Earl Chaney,1,2055,Bến Du Thuyền,"[11.41, 11.63]","[0.24, 2.94]",4
Earl Chaney,1,1719,Hoàng Thao SeaView - Hải sản Quy Nhơn,"[3.42, 4.47]","[2.34, 4.19]",2
Hector Dix,2,144,HOSTEL ARIA,"[2.88, 4.15]","[0.75, 2.28]",5
Hector Dix,2,1148,Oscar Quán,"[8.5, 9.61]","[2.8, 3.29]",5
Hector Dix,2,2099,Khu vui chơi Sky Kids,"[12.07, 14.98]","[0.98, 2.37]",4
Hector Dix,2,784,Home coffee,"[10.58, 11.1]","[0.03, 3.13]",5
Hector Dix,2,345,FLC City Hotel Beach Quy Nhon,"[5.92, 7.47]","[0.91, 1.66]",5
Hector Dix,2,1776,Quán Nhậu Hương Biển,"[7.74, 10.29]","[0.08, 0.58]",5
Hector Dix,2,1118,Nem nướng Tí Ti.,"[7.06, 13.12]","[0.2, 2.37]",2
Chris Rosario,3,144,HOSTEL ARIA,"[13.21, 13.77]","[0.31, 2.02]",2
Chris Rosario,3,1148,Oscar Quán,"[1.44, 3.42]","[2.58, 3.43]",2
Chris Rosario,3,2099,Khu vui chơi Sky Kids,"[12.23, 16.05]","[1.34, 2.93]",2
Chris Rosario,3,784,Home coffee,"[10.64, 12.19]","[0.45, 1.09]",2
